주문번호,주문일,주문시간,채널,카테고리,상품명,SKU,수량,단가,합계,배송지역,주문상태
CP-4000000118,2026-02-05,20:14,쿠팡,커피포,군밤맛 커피포,NM-2000015,3,15900,47700,대전,배송완료
KL-260205-0119,2026-02-05,11:42,컬리,MD상품,키링 포 모양,NM-4000002,3,12000,36000,전북,배송완료
KL-260205-0119,2026-02-05,11:42,컬리,세트,베스트 4종 세트,NM-5000001,1,55000,55000,전북,배송완료
KL-260205-0120,2026-02-05,12:45,컬리,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,인천,배송완료
NV-260205-00121,2026-02-05,21:15,네이버,커피포,바나나우유맛 커피포,NM-2000043,3,15900,47700,경기,교환완료
NV-260205-00121,2026-02-05,21:15,네이버,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,경기,교환완료
NV-260205-00122,2026-02-05,17:47,네이버,세트,전맛 6종 세트,NM-5000002,1,89000,89000,세종,배송완료
CP-4000000123,2026-02-05,01:48,쿠팡,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,서울,배송완료
NV-260205-00124,2026-02-05,00:52,네이버,MD상품,도자기컵,NM-4000003,1,28000,28000,서울,배송완료
NV-260205-00124,2026-02-05,00:52,네이버,세트,베스트 4종 세트,NM-5000001,1,55000,55000,서울,배송완료
NV-260205-00124,2026-02-05,00:52,네이버,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,서울,배송완료
29-100125,2026-02-05,17:07,29CM,커피포,얼그레이밀크티 커피포,NM-2000016,2,15900,31800,경기,배송완료
29-100125,2026-02-05,17:07,29CM,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,1,5500,5500,경기,배송완료
KL-260205-0126,2026-02-05,00:53,컬리,세트,베스트 4종 세트,NM-5000001,1,55000,55000,제주,배송완료
KL-260205-0127,2026-02-05,21:36,컬리,커피포,얼그레이밀크티 커피포,NM-2000016,2,15900,31800,부산,배송완료
CP-4000000128,2026-02-05,17:08,쿠팡,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,충남,배송완료
CP-4000000128,2026-02-05,17:08,쿠팡,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,충남,배송완료
NV-260205-00129,2026-02-05,18:25,네이버,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,부산,교환완료
NV-260205-00129,2026-02-05,18:25,네이버,MD상품,키링 mix man,NM-4000001,1,12000,12000,부산,교환완료
NV-260205-00129,2026-02-05,18:25,네이버,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,1,5500,5500,부산,교환완료
CP-4000000130,2026-02-05,13:09,쿠팡,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,서울,배송완료
NV-260205-00131,2026-02-05,21:55,네이버,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,충남,배송완료
NV-260205-00131,2026-02-05,21:55,네이버,커피포,타로밀크티 커피포,NM-2000018,1,15900,15900,충남,배송완료
29-100132,2026-02-05,08:03,29CM,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,대전,교환완료
29-100133,2026-02-05,17:53,29CM,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,전북,배송완료
29-100133,2026-02-05,17:53,29CM,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,전북,배송완료
CP-4000000134,2026-02-05,22:36,쿠팡,MD상품,도자기컵,NM-4000003,3,28000,84000,서울,배송완료
CP-4000000134,2026-02-05,22:36,쿠팡,커피포,민트초코맛 커피포,NM-2000014,3,15900,47700,서울,배송완료
NV-260205-00135,2026-02-05,16:40,네이버,세트,선물세트 (3입x4종),NM-5000003,3,32000,96000,서울,배송완료
NV-260205-00135,2026-02-05,16:40,네이버,세트,베스트 4종 세트,NM-5000001,1,55000,55000,서울,배송완료
NV-260205-00135,2026-02-05,16:40,네이버,커피포,라즈베리말차 커피포,NM-2000017,1,15900,15900,서울,배송완료
NV-260205-00136,2026-02-05,08:10,네이버,MD상품,도자기컵,NM-4000003,2,28000,56000,경기,배송완료
NV-260206-00137,2026-02-06,22:13,네이버,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,경남,배송완료
29-100138,2026-02-06,14:37,29CM,세트,전맛 6종 세트,NM-5000002,2,89000,178000,서울,배송완료
29-100138,2026-02-06,14:37,29CM,커피포,화이트베리모카맛 커피포,NM-2000013,1,15900,15900,서울,배송완료
KL-260206-0139,2026-02-06,13:30,컬리,세트,전맛 6종 세트,NM-5000002,1,89000,89000,경기,배송완료
KL-260206-0139,2026-02-06,13:30,컬리,커피포,화이트베리모카맛 커피포,NM-2000013,3,15900,47700,경기,배송완료
NV-260206-00140,2026-02-06,19:21,네이버,세트,베스트 4종 세트,NM-5000001,1,55000,55000,서울,배송완료
NV-260206-00140,2026-02-06,19:21,네이버,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,서울,배송완료
NV-260206-00141,2026-02-06,14:08,네이버,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,경기,배송완료
NV-260206-00141,2026-02-06,14:08,네이버,스낵,오란다 오리지널,NM-3000003,1,4500,4500,경기,배송완료
NV-260206-00141,2026-02-06,14:08,네이버,세트,전맛 6종 세트,NM-5000002,1,89000,89000,경기,배송완료
KL-260206-0142,2026-02-06,20:09,컬리,스낵,오란다 말차,NM-3000004,2,4500,9000,대전,배송완료
KL-260206-0142,2026-02-06,20:09,컬리,커피포,민트초코맛 커피포,NM-2000014,1,15900,15900,대전,배송완료
29-100143,2026-02-06,15:43,29CM,스낵,건빵크런치 8개입,NM-3000001,2,6500,13000,서울,교환완료
NV-260206-00144,2026-02-06,19:23,네이버,MD상품,도자기컵,NM-4000003,1,28000,28000,경기,배송완료
CP-4000000145,2026-02-06,17:57,쿠팡,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,경기,배송완료
CP-4000000145,2026-02-06,17:57,쿠팡,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,경기,배송완료
CP-4000000146,2026-02-06,13:47,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,인천,반품완료
CP-4000000146,2026-02-06,13:47,쿠팡,커피포,밀크카라멜맛 커피포,NM-2000114,3,15900,47700,인천,반품완료
CP-4000000146,2026-02-06,13:47,쿠팡,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,인천,반품완료
KL-260206-0147,2026-02-06,21:13,컬리,세트,베스트 4종 세트,NM-5000001,1,55000,55000,제주,배송완료
CP-4000000148,2026-02-06,12:29,쿠팡,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,경기,배송완료
CP-4000000148,2026-02-06,12:29,쿠팡,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,경기,배송완료
KL-260206-0149,2026-02-06,16:39,컬리,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,1,5500,5500,서울,반품완료
KL-260206-0150,2026-02-06,13:54,컬리,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,경기,배송완료
KL-260206-0150,2026-02-06,13:54,컬리,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,경기,배송완료
KL-260206-0151,2026-02-06,13:31,컬리,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,인천,반품완료
NV-260206-00152,2026-02-06,23:18,네이버,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,서울,배송완료
NV-260206-00152,2026-02-06,23:18,네이버,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,서울,배송완료
NV-260206-00152,2026-02-06,23:18,네이버,세트,전맛 6종 세트,NM-5000002,2,89000,178000,서울,배송완료
NV-260206-00153,2026-02-06,13:50,네이버,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,서울,배송완료
NV-260206-00153,2026-02-06,13:50,네이버,커피포,생일파티바닐라 커피포,NM-2000005,3,15900,47700,서울,배송완료
NV-260206-00153,2026-02-06,13:50,네이버,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,2,5500,11000,서울,배송완료
KL-260206-0154,2026-02-06,17:10,컬리,커피포,밀크카라멜맛 커피포,NM-2000114,3,15900,47700,서울,배송완료
NV-260206-00155,2026-02-06,11:19,네이버,MD상품,뉴믹스 에코백,NM-4000004,1,18000,18000,강원,배송완료
NV-260206-00155,2026-02-06,11:19,네이버,커피포,말차라떼맛 커피포,NM-2000108,3,15900,47700,강원,배송완료
NV-260206-00155,2026-02-06,11:19,네이버,커피포,바나나우유맛 커피포,NM-2000043,3,15900,47700,강원,배송완료
CP-4000000156,2026-02-06,20:11,쿠팡,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,부산,배송완료
KL-260206-0157,2026-02-06,16:35,컬리,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,서울,배송완료
CP-4000000158,2026-02-06,10:08,쿠팡,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,서울,배송완료
NV-260206-00159,2026-02-06,17:12,네이버,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,서울,배송완료
CP-4000000160,2026-02-06,21:46,쿠팡,MD상품,키링 포 모양,NM-4000002,1,12000,12000,경기,배송완료
NV-260206-00161,2026-02-06,22:22,네이버,커피포,군밤맛 커피포,NM-2000015,3,15900,47700,경기,배송완료
29-100162,2026-02-06,21:02,29CM,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,경기,교환완료
29-100162,2026-02-06,21:02,29CM,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,2,5500,11000,경기,교환완료
KL-260206-0163,2026-02-06,00:20,컬리,세트,전맛 6종 세트,NM-5000002,1,89000,89000,경기,배송완료
NV-260206-00164,2026-02-06,20:06,네이버,세트,전맛 6종 세트,NM-5000002,3,89000,267000,광주,배송완료
NV-260206-00164,2026-02-06,20:06,네이버,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,광주,배송완료
NV-260206-00164,2026-02-06,20:06,네이버,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,광주,배송완료
NV-260206-00165,2026-02-06,17:55,네이버,세트,베스트 4종 세트,NM-5000001,2,55000,110000,경기,배송완료
NV-260206-00165,2026-02-06,17:55,네이버,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,경기,배송완료
NV-260206-00165,2026-02-06,17:55,네이버,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,경기,배송완료
NV-260206-00166,2026-02-06,16:42,네이버,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,대전,배송완료
NV-260206-00166,2026-02-06,16:42,네이버,세트,베스트 4종 세트,NM-5000001,3,55000,165000,대전,배송완료
NV-260206-00167,2026-02-06,19:43,네이버,세트,베스트 4종 세트,NM-5000001,1,55000,55000,경기,배송완료
NV-260206-00167,2026-02-06,19:43,네이버,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,경기,배송완료
NV-260206-00167,2026-02-06,19:43,네이버,커피포,오리지널 에어 10T,NM-2000008,2,16500,33000,경기,배송완료
CP-4000000168,2026-02-06,20:08,쿠팡,세트,전맛 6종 세트,NM-5000002,1,89000,89000,경북,배송완료
CP-4000000168,2026-02-06,20:08,쿠팡,커피포,라즈베리말차 커피포,NM-2000017,3,15900,47700,경북,배송완료
KL-260206-0169,2026-02-06,14:02,컬리,커피포,라즈베리말차 커피포,NM-2000017,1,15900,15900,부산,교환완료
CP-4000000170,2026-02-06,08:28,쿠팡,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,제주,배송완료
CP-4000000170,2026-02-06,08:28,쿠팡,세트,전맛 6종 세트,NM-5000002,2,89000,178000,제주,배송완료
29-100171,2026-02-06,08:56,29CM,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,세종,배송완료
NV-260206-00172,2026-02-06,22:05,네이버,세트,베스트 4종 세트,NM-5000001,2,55000,110000,제주,배송완료
NV-260206-00172,2026-02-06,22:05,네이버,커피포,화이트베리모카맛 커피포,NM-2000013,1,15900,15900,제주,배송완료
NV-260206-00173,2026-02-06,11:23,네이버,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,인천,배송완료
NV-260206-00174,2026-02-06,09:15,네이버,세트,전맛 6종 세트,NM-5000002,2,89000,178000,인천,배송완료
NV-260207-00175,2026-02-07,10:32,네이버,세트,베스트 4종 세트,NM-5000001,1,55000,55000,서울,배송완료
NV-260207-00175,2026-02-07,10:32,네이버,세트,전맛 6종 세트,NM-5000002,1,89000,89000,서울,배송완료
NV-260207-00176,2026-02-07,18:08,네이버,세트,전맛 6종 세트,NM-5000002,2,89000,178000,경기,배송완료
NV-260207-00176,2026-02-07,18:08,네이버,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,경기,배송완료
29-100177,2026-02-07,23:14,29CM,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,서울,배송완료
NV-260207-00178,2026-02-07,13:06,네이버,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,서울,반품완료
NV-260207-00178,2026-02-07,13:06,네이버,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,서울,반품완료
KL-260207-0179,2026-02-07,17:26,컬리,세트,전맛 6종 세트,NM-5000002,1,89000,89000,경기,배송완료
NV-260207-00180,2026-02-07,09:49,네이버,세트,베스트 4종 세트,NM-5000001,3,55000,165000,서울,배송완료
CP-4000000181,2026-02-07,23:03,쿠팡,MD상품,키링 mix man,NM-4000001,2,12000,24000,전남,배송완료
CP-4000000181,2026-02-07,23:03,쿠팡,커피포,라즈베리말차 커피포,NM-2000017,1,15900,15900,전남,배송완료
CP-4000000181,2026-02-07,23:03,쿠팡,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,전남,배송완료
KL-260207-0182,2026-02-07,10:49,컬리,MD상품,뉴믹스 에코백,NM-4000004,1,18000,18000,강원,배송완료
KL-260207-0183,2026-02-07,22:59,컬리,세트,베스트 4종 세트,NM-5000001,1,55000,55000,서울,배송완료
CP-4000000184,2026-02-07,09:15,쿠팡,MD상품,뉴믹스 에코백,NM-4000004,1,18000,18000,충남,배송완료
CP-4000000185,2026-02-07,23:53,쿠팡,스낵,오란다 오리지널,NM-3000003,1,4500,4500,대전,배송완료
NV-260207-00186,2026-02-07,15:23,네이버,커피포,라즈베리말차 커피포,NM-2000017,3,15900,47700,부산,반품완료
NV-260207-00186,2026-02-07,15:23,네이버,세트,선물세트 (3입x4종),NM-5000003,2,32000,64000,부산,반품완료
NV-260207-00186,2026-02-07,15:23,네이버,세트,베스트 4종 세트,NM-5000001,1,55000,55000,부산,반품완료
NV-260207-00187,2026-02-07,13:09,네이버,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,경기,배송완료
NV-260207-00187,2026-02-07,13:09,네이버,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,경기,배송완료
CP-4000000188,2026-02-07,16:10,쿠팡,커피포,타로밀크티 커피포,NM-2000018,1,15900,15900,서울,배송완료
CP-4000000188,2026-02-07,16:10,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,서울,배송완료
CP-4000000189,2026-02-07,14:23,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,경기,배송완료
CP-4000000189,2026-02-07,14:23,쿠팡,커피포,민트초코맛 커피포,NM-2000014,1,15900,15900,경기,배송완료
CP-4000000189,2026-02-07,14:23,쿠팡,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,경기,배송완료
KL-260207-0190,2026-02-07,20:06,컬리,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,대전,배송완료
NV-260207-00191,2026-02-07,19:29,네이버,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,경기,배송완료
29-100192,2026-02-07,18:06,29CM,세트,전맛 6종 세트,NM-5000002,2,89000,178000,대구,배송완료
29-100192,2026-02-07,18:06,29CM,세트,베스트 4종 세트,NM-5000001,2,55000,110000,대구,배송완료
29-100192,2026-02-07,18:06,29CM,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,대구,배송완료
NV-260207-00193,2026-02-07,21:24,네이버,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,서울,배송완료
NV-260207-00193,2026-02-07,21:24,네이버,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,서울,배송완료
29-100194,2026-02-07,21:24,29CM,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,인천,배송완료
29-100194,2026-02-07,21:24,29CM,스낵,오란다 말차,NM-3000004,1,4500,4500,인천,배송완료
29-100194,2026-02-07,21:24,29CM,세트,베스트 4종 세트,NM-5000001,1,55000,55000,인천,배송완료
KL-260207-0195,2026-02-07,18:35,컬리,세트,선물세트 (3입x4종),NM-5000003,2,32000,64000,서울,반품완료
KL-260207-0195,2026-02-07,18:35,컬리,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,서울,반품완료
CP-4000000196,2026-02-07,10:27,쿠팡,세트,베스트 4종 세트,NM-5000001,1,55000,55000,부산,배송완료
CP-4000000197,2026-02-07,10:20,쿠팡,MD상품,키링 포 모양,NM-4000002,1,12000,12000,강원,배송완료
CP-4000000197,2026-02-07,10:20,쿠팡,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,강원,배송완료
CP-4000000197,2026-02-07,10:20,쿠팡,세트,베스트 4종 세트,NM-5000001,1,55000,55000,강원,배송완료
CP-4000000198,2026-02-07,20:30,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,2,14500,29000,대전,배송완료
KL-260207-0199,2026-02-07,17:01,컬리,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,경기,배송완료
KL-260207-0199,2026-02-07,17:01,컬리,세트,베스트 4종 세트,NM-5000001,1,55000,55000,경기,배송완료
KL-260207-0199,2026-02-07,17:01,컬리,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,경기,배송완료
NV-260207-00200,2026-02-07,18:53,네이버,커피포,말차라떼맛 커피포,NM-2000108,3,15900,47700,서울,배송완료
KL-260207-0201,2026-02-07,15:26,컬리,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,인천,배송완료
CP-4000000202,2026-02-07,16:20,쿠팡,세트,베스트 4종 세트,NM-5000001,3,55000,165000,서울,배송완료
CP-4000000202,2026-02-07,16:20,쿠팡,커피포,라즈베리말차 커피포,NM-2000017,1,15900,15900,서울,배송완료
NV-260207-00203,2026-02-07,21:57,네이버,MD상품,키링 mix man,NM-4000001,1,12000,12000,서울,배송완료
CP-4000000204,2026-02-08,14:02,쿠팡,커피포,볶은쌀 커피포 10T,NM-2000004,3,14500,43500,서울,배송완료
CP-4000000204,2026-02-08,14:02,쿠팡,커피포,민트초코맛 커피포,NM-2000014,2,15900,31800,서울,배송완료
29-100205,2026-02-08,17:55,29CM,세트,베스트 4종 세트,NM-5000001,3,55000,165000,서울,교환완료
CP-4000000206,2026-02-08,14:18,쿠팡,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,울산,배송완료
CP-4000000206,2026-02-08,14:18,쿠팡,MD상품,키링 포 모양,NM-4000002,1,12000,12000,울산,배송완료
KL-260208-0207,2026-02-08,15:30,컬리,MD상품,도자기컵,NM-4000003,1,28000,28000,서울,배송완료
NV-260208-00208,2026-02-08,16:54,네이버,커피포,오리지날 커피포 10T,NM-2000003,3,14500,43500,경기,배송완료
NV-260208-00208,2026-02-08,16:54,네이버,세트,베스트 4종 세트,NM-5000001,3,55000,165000,경기,배송완료
NV-260208-00208,2026-02-08,16:54,네이버,커피포,바나나우유맛 커피포,NM-2000043,2,15900,31800,경기,배송완료
NV-260208-00209,2026-02-08,15:39,네이버,커피포,생일파티바닐라 커피포,NM-2000005,3,15900,47700,전북,교환완료
NV-260208-00209,2026-02-08,15:39,네이버,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,전북,교환완료
NV-260208-00209,2026-02-08,15:39,네이버,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,전북,교환완료
CP-4000000210,2026-02-08,10:36,쿠팡,스낵,오란다 오리지널,NM-3000003,3,4500,13500,경기,배송완료
CP-4000000210,2026-02-08,10:36,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,경기,배송완료
CP-4000000211,2026-02-08,07:39,쿠팡,세트,선물세트 (3입x4종),NM-5000003,2,32000,64000,부산,배송완료
CP-4000000212,2026-02-08,21:44,쿠팡,세트,베스트 4종 세트,NM-5000001,1,55000,55000,경기,배송완료
CP-4000000212,2026-02-08,21:44,쿠팡,세트,선물세트 (3입x4종),NM-5000003,2,32000,64000,경기,배송완료
NV-260208-00213,2026-02-08,21:59,네이버,커피포,생일파티바닐라 커피포,NM-2000005,1,15900,15900,충남,배송완료
KL-260208-0214,2026-02-08,00:52,컬리,커피포,라즈베리말차 커피포,NM-2000017,1,15900,15900,부산,배송완료
CP-4000000215,2026-02-08,12:54,쿠팡,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,제주,배송완료
NV-260208-00216,2026-02-08,13:13,네이버,세트,전맛 6종 세트,NM-5000002,2,89000,178000,충남,배송완료
NV-260208-00216,2026-02-08,13:13,네이버,커피포,밀크카라멜맛 커피포,NM-2000114,2,15900,31800,충남,배송완료
29-100217,2026-02-08,21:07,29CM,커피포,볶은쌀 커피포 10T,NM-2000004,3,14500,43500,경북,배송완료
29-100217,2026-02-08,21:07,29CM,커피포,볶은쌀 커피포 10T,NM-2000004,3,14500,43500,경북,배송완료
KL-260208-0218,2026-02-08,22:02,컬리,세트,전맛 6종 세트,NM-5000002,2,89000,178000,제주,배송완료
KL-260208-0218,2026-02-08,22:02,컬리,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,제주,배송완료
CP-4000000219,2026-02-08,13:50,쿠팡,커피포,얼그레이밀크티 커피포,NM-2000016,1,15900,15900,경남,배송완료
CP-4000000219,2026-02-08,13:50,쿠팡,세트,선물세트 (3입x4종),NM-5000003,2,32000,64000,경남,배송완료
NV-260208-00220,2026-02-08,20:22,네이버,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,강원,배송완료
NV-260208-00220,2026-02-08,20:22,네이버,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,강원,배송완료
CP-4000000221,2026-02-08,16:18,쿠팡,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,경기,반품완료
29-100222,2026-02-09,08:31,29CM,커피포,군밤맛 커피포,NM-2000015,2,15900,31800,인천,배송완료
29-100222,2026-02-09,08:31,29CM,세트,베스트 4종 세트,NM-5000001,3,55000,165000,인천,배송완료
NV-260209-00223,2026-02-09,16:13,네이버,커피포,민트초코맛 커피포,NM-2000014,2,15900,31800,경기,배송완료
NV-260209-00223,2026-02-09,16:13,네이버,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,경기,배송완료
KL-260209-0224,2026-02-09,10:45,컬리,세트,전맛 6종 세트,NM-5000002,1,89000,89000,광주,배송완료
KL-260209-0224,2026-02-09,10:45,컬리,세트,선물세트 (3입x4종),NM-5000003,2,32000,64000,광주,배송완료
CP-4000000225,2026-02-09,21:20,쿠팡,세트,베스트 4종 세트,NM-5000001,1,55000,55000,강원,배송완료
CP-4000000225,2026-02-09,21:20,쿠팡,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,강원,배송완료
CP-4000000225,2026-02-09,21:20,쿠팡,스낵,건빵크런치 8개입,NM-3000001,2,6500,13000,강원,배송완료
NV-260209-00226,2026-02-09,20:28,네이버,세트,베스트 4종 세트,NM-5000001,1,55000,55000,제주,배송완료
NV-260209-00227,2026-02-09,18:39,네이버,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,부산,배송완료
NV-260209-00228,2026-02-09,21:29,네이버,세트,선물세트 (3입x4종),NM-5000003,3,32000,96000,서울,배송완료
CP-4000000229,2026-02-09,15:09,쿠팡,커피포,말차라떼맛 커피포,NM-2000108,2,15900,31800,대구,반품완료
KL-260209-0230,2026-02-09,16:58,컬리,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,경기,반품완료
KL-260209-0231,2026-02-09,21:28,컬리,세트,전맛 6종 세트,NM-5000002,2,89000,178000,대전,배송완료
CP-4000000232,2026-02-09,18:20,쿠팡,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,경기,배송완료
CP-4000000232,2026-02-09,18:20,쿠팡,커피포,볶은쌀 커피포 10T,NM-2000004,1,14500,14500,경기,배송완료
CP-4000000233,2026-02-09,20:31,쿠팡,스낵,오란다 오리지널,NM-3000003,2,4500,9000,전북,배송완료
KL-260209-0234,2026-02-09,17:03,컬리,세트,베스트 4종 세트,NM-5000001,2,55000,110000,부산,배송완료
KL-260209-0234,2026-02-09,17:03,컬리,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,부산,배송완료
KL-260209-0235,2026-02-09,13:12,컬리,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,강원,배송완료
KL-260209-0236,2026-02-09,19:24,컬리,세트,선물세트 (3입x4종),NM-5000003,1,32000,32000,충남,배송완료
KL-260209-0237,2026-02-09,19:22,컬리,커피포,바나나우유맛 커피포,NM-2000043,1,15900,15900,광주,배송완료
KL-260209-0237,2026-02-09,19:22,컬리,세트,베스트 4종 세트,NM-5000001,1,55000,55000,광주,배송완료
KL-260209-0237,2026-02-09,19:22,컬리,커피포,바나나우유맛 커피포,NM-2000043,3,15900,47700,광주,배송완료
KL-260209-0238,2026-02-09,12:05,컬리,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,경기,배송완료
KL-260209-0238,2026-02-09,12:05,컬리,커피포,오리지날 커피포 10T,NM-2000003,1,14500,14500,경기,배송완료
KL-260209-0238,2026-02-09,12:05,컬리,MD상품,도자기컵,NM-4000003,1,28000,28000,경기,배송완료
KL-260209-0239,2026-02-09,12:43,컬리,커피포,말차라떼맛 커피포,NM-2000108,1,15900,15900,전북,배송완료
KL-260209-0239,2026-02-09,12:43,컬리,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,전북,배송완료
KL-260209-0240,2026-02-09,17:45,컬리,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,서울,배송완료
CP-4000000241,2026-02-09,16:27,쿠팡,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,대구,배송완료
CP-4000000242,2026-02-09,22:22,쿠팡,스낵,오란다 말차,NM-3000004,2,4500,9000,경기,배송완료
CP-4000000242,2026-02-09,22:22,쿠팡,커피포,화이트베리모카맛 커피포,NM-2000013,1,15900,15900,경기,배송완료
CP-4000000242,2026-02-09,22:22,쿠팡,MD상품,키링 mix man,NM-4000001,1,12000,12000,경기,배송완료
NV-260209-00243,2026-02-09,09:46,네이버,커피포,밀크카라멜맛 커피포,NM-2000114,1,15900,15900,경기,배송완료
NV-260209-00243,2026-02-09,09:46,네이버,스낵,쌀전병 스낵 믹스커피맛,NM-3000002,3,5500,16500,경기,배송완료
NV-260209-00243,2026-02-09,09:46,네이버,커피포,군밤맛 커피포,NM-2000015,1,15900,15900,경기,배송완료
CP-4000000244,2026-02-09,14:03,쿠팡,세트,베스트 4종 세트,NM-5000001,1,55000,55000,충남,배송완료
NV-260209-00245,2026-02-09,02:11,네이버,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,인천,배송완료
KL-260209-0246,2026-02-09,21:34,컬리,세트,전맛 6종 세트,NM-5000002,1,89000,89000,충남,교환완료
CP-4000000247,2026-02-09,07:52,쿠팡,스낵,오란다 오리지널,NM-3000003,1,4500,4500,서울,배송완료
CP-4000000247,2026-02-09,07:52,쿠팡,커피포,볶은쌀 커피포 10T,NM-2000004,2,14500,29000,서울,배송완료
29-100248,2026-02-09,21:55,29CM,커피포,생일파티바닐라 커피포,NM-2000005,2,15900,31800,경기,교환완료
